SCHOOL CODE,NAME,AFFILIATION_NO.,STREET ADDRESS,STATE,CITY,PINCODE,GENDER,CATEGORIES 1,CATEGORIES 2,TYPES 1,TYPES 2,NAME OF THE HEAD,PHONE 1,PHONE 2,PHONE 3,EMAIL_ID,WEBSITE,YEAR_OF_FOUNDATION,DATE_OF_OPENING,STATUS_OF_AFFILIATION,AFFILIATION_FROM,AFFILIATION_TO,NAME_OF_TRUST_SOCIETY_MANAGING_COMMITTEE,LOCALITY,COUNTRY,PHONE 4,PHONE 5,IMAGE URL,WORKING HOURS,DETAILS,SERVICES,FAX NO,PROFESSIONAL QUALIFICATIONS,NUMBER OF EXPERIENCE YEARS,ADMINISTRATIVE,TEACHING,extra,SOURCE URL,PERSON TO CONTACT,PLACE_ID,SOURCE
,TINU PUBLIC SCHOOL,2730368,B-5/1189 SANGAM VIHAR NEW DELHI,DELHI,SOUTH DELHI,110062,,,Provisional,CBSE,,Mr. MRS BIMLA SAINI,"26047255
                        ,",65673221,32929962,tps_siwas@yahoo.co.in,,1996,4/1/2011 0:00,Secondary School,1/4/2016,31/3/2021,SIWAS EDN SOCIETY,Sangam Vihar,India,011 - 26047255, 011 - 65673221,,Monday - Saturday: 8 AM - 2 PM,,,,,,5,10,,http://www.thelearningpoint.net/home/school-listings/cbse-18/TINU-PUBLIC-SCHOOL-B-5-1189-SANGAM-VIHAR-NEW-DELHI-2730368,Meenakshi ,ChIJrwW9dKjhDDkRMR2b41LVDzY,SOURCE 7
,VENKAT INTERNATIONAL PUB SCHOOL,830081,5TH BLOCK RAJAJI NAGAR BANGALORE KARNATAKA,KARNATAKA,BANGALORE,560010,,,Provisional,CBSE,,Mrs.P.Lethishia,"22780083
                        ,",,4424413203,lestishiaharris@ymail.com,http://www.mgps.in,1996,7/2/2005 0:00,Senior Secondary,1/4/2011,31/ 3/ 2016,national hill view pub school,Hosur Road,India,080 - 23502735,,,,,,2236573,,,21,5,,http://www.thelearningpoint.net/home/school-listings/cbse-23/VENKAT-INTERNATIONAL-PUBLIC-SCHOOL-19-A-1913-2-KB-TEMPLE-STREET-6TH-STREET-RAJAJI-NAGAR-BANGALORE-KARNATAKA-830154,,ChIJ82GIKfI9rjsRbiShUz6ZyaY,SOURCE 7
,VENKAT INTERNATIONAL PUBLIC SCHOOL,830154,19/A/1913/2 KB TEMPLE STREET 6TH STREET  RAJAJI NAGAR BANGALORE KARNATAKA,KARNATAKA,BANGALORE,560010,,,Provisional,CBSE,,SULOCHANA BALA KRISHNA,"23502735
                        ,",,4424413203,mgpsvn@hotmail.com,http://www.mgps.in,2007,8/12/2007 0:00,Senior Secondary,1/4/2012,31/ 3/ 2015,VISHWA BHARTI VIDYA MANDIR,Hosur Road,India,080 - 23502735,,,,,,2236573,,,21,5,,http://www.thelearningpoint.net/home/school-listings/cbse-23/VENKAT-INTERNATIONAL-PUBLIC-SCHOOL-19-A-1913-2-KB-TEMPLE-STREET-6TH-STREET-RAJAJI-NAGAR-BANGALORE-KARNATAKA-830154,,ChIJ82GIKfI9rjsRbiShUz6ZyaY,SOURCE 7
KE033,Sarvodaya Vidyalaya,,   Mar Ivanias Vidhyanager  Nalanchira P.O.  Bethany Hills  Thiruvananthapuram-695 015,Kerala,Thiruvananthapuram,695015,Co-ed. ,Day,Permanent,ICSE,ISC,Fr. George Mathew Karoor , 0471-2530831, 0471-3200700 , 0471-2533519 , head@ke033cisce.org , ke033cisce.org ,,,Senior Secondary,,,Malankara Catholic Edn Society ,,India,0471 - 2530831,,,,,,0471-533519,,,,,,,George Mathew Karoor,ChIJJzTf2265BTsRlomwXPRfSOo,SOURCE 5
,A S N SR SEC SCHOOL,2730203,NOIDA ROAD MAYUR VIHAR  DISTT EAST DELHI  DELHI,DELHI,EAST DELHI,110091,,,Provisional,CBSE,,MRS SAROJ GOEL,"22713040
                        ,
                        22715881",22715837,22429480,asnschool@asnschool.org,www.ansschool.org ,1975,,Senior Secondary,1/4/2013,31/ 3/ 2018,SANATAN DHARAM ADARSH SHIKSHA SANAGATAN,Mayur Vihar Phase 1,India,011 - 22713040, 011 - 22715881,,,,,,,,,,,,Saroj Goel,ChIJncjhwprkDDkR0FXTzm-IFYM,SOURCE 7
,AHLCON INTERNATIONAL SCHOOL,2730454,MAYUR VIHAR PHASE I OPP UNA ENCLAVE  DISTT EAST DELHI  DELHI,DELHI,EAST DELHI,110091,,,Provisional,CBSE,,SH ASHOK KUMAR PANDEY,"01282-204265
                        ,",777,,tarunbajaj@rediffmail.com,www.ahlconinternational.com ,2001,4/1/2005 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,SHANTI DEVI PROGRESSIVE EDU SOC,Safdarjung Development Area,India,011 - 26565758,,,,,,22754068,,,,,,,Ashok Kumar Pandey,ChIJbb0zxqDkDDkRqvNuET4VdZ4,SOURCE 7
,AL AMEEN PUBLIC SCHOOL,930663,SREEMOOLANAGARAM ERANAKULAM DISTT KERALA,KERALA,ERNAKULAM,683580,,,Provisional,CBSE,,MRS T RAJESHWARI,"2600033
                        ,
                        2600125",347931,342017,augustine_thevarkunnel@yahoo.com,,2002,8/1/1973 0:00,Senior Secondary,1/4/2012,31/ 3/ 2017,AL AMEEN EDUCATIONAL TRUST,Aluva,India,0484 - 2837948,,,,,,,,,,,,,,ChIJwY4o1k8NCDsR0twJbblQTtM,SOURCE 7
,AL-AMEEN PUBLIC SCHOOL,930029,EDAPPALLY COCHIN  DISTT ERNAKULAM KERALA,KERALA,ERNAKULAM,682024,,,Provisional,CBSE,,INDIRA HARIHARAN,"311679
                        ,",347931,342017,shafik@yahoo.com,,1979,4/1/2005 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,AL-AMEEN EDUCTIONAL TRUST,Aluva,India,0484 - 2837948,,,,,,,,,,,,,,ChIJwY4o1k8NCDsR0twJbblQTtM,SOURCE 7
,B B U L JAIN VIDYALAYA,830012,84  K.R. ROAD SHANKARAPURAM BANGALORE KARNATAKA,KARNATAKA,BANGALORE,560004,,,Provisional,CBSE,,Mrs. SRIDEVI S A,"41554379
                        ,
                        6522936",6522936,6761006,principal.jv@gmail.com,,1984,7/1/2005 0:00,Secondary School,1/4/2013,31/3/2018,SHREE MAHAVEER JAIN SHIKSHAN SANGH,Basavanagudi,India,080 - 41554379, 080 - 41554352,,Monday - Friday: 9 AM - 3.30 PM  Saturday: 9 AM - 1 PM,,,,,,,,,,Sridevi,ChIJkdwPHO4VrjsRrM0JnvPSjvo,SOURCE 7
,BHARATIYA VIDYA BHAVAN SCHOOL,930170,PONNAYANKODU KUNNU CHEVAYUR POST CALICUT  DISTT KOZHIKODE  KERALA,KERALA,KOZHIKODE,673017,,,Provisional,CBSE,,Mrs. Lalitha Nair,"04952461600
                        ,",2643777,4962643777,krbs01bhaavansclt@rediffmail.com,,1990,4/1/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,BHARTIYA VIDYA BHAWAN,Chevayur,India,0495 - 2354043,,,,,,,,,,,,,,ChIJAYw-3ZJbpjsRuZpNooratGM,SOURCE 7
,BHARTI KRISHNA VIDYA VIHAR,1130036,RAVAL BHAVAN  NEAR TELANKHEDI GARDEN TELENKHEDI  DISTT NAGPUR  MAHARASHTRA,MAHARASHTRA,NAGPUR,440001,,,Provisional,CBSE,,Mrs. J.V. NAGALAKSHAMI DEVI,"2531363
                        ,",545637,0712-2512258,bkvv_2006@yahoo.co.in,www.bkvvngp.org,1873,6/2/2008 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,HORIZON EDN SOCIETY,,India,0712 - 2531363,,,,,,,,,,,,,,ChIJB0LVC0_A1DsR5Q8Li34CVFs,SOURCE 7
,BHAVAN'S SAWAN PUBLIC SCHOOL,2730022,BHATTI MINES ROAD  ASOLA  DISTT SOUTH DELHI NEW DELHI,DELHI,SOUTH DELHI,110030,,,Provisional,CBSE,,DR S C BIALA,"0712-2230142, 6459992
                        ,",26652986-87,26654159,sawanschooldelhi@gmail.com,www.sawanschooldelhi.com,1974,6/3/2002 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,BHARTIYA VIDYA BHAVAN,Chhatarpur,India,7530889603,,,Monday - Sunday : 24 Hrs,,,26654110,,,,,,,,ChIJK0dVESUeDTkRU_qpvmxHL4Q,SOURCE 7
,CAMPION SCHOOL,930119,CHANGAMPUZHA CROSS ROAD EDAPALLY  COCHIN  DISTT ERNAKULAM  KERALA,KERALA,ERNAKULAM,682024,,,Provisional,CBSE,,MRS LEELAMMA THOMAS,"347613
                        ,
                        349090",349090,349090,campion@md2.vsnl.net.in,,1989,4/8/2007 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,CAMPION EDNL. SOCIETY,Edappally,India,0484 - 2349973,,,,,,,,,,,,,,ChIJ9ZM6DKINCDsRqSv3XmgQwTw,SOURCE 7
,CHOWGULE PUBLIC SCHOOL,2730114,D-4 FAIZ ROAD KAROL BAGH  DISTT CENTRAL DELHI  NEW DELHI,DELHI,CENTRAL DELHI,110005,,,Provisional,CBSE,,MRS USHA PANDEY,"23549764
                        ,
                        23522370",23522370,22475064,sundarv@nagarjunagroup.com,www.chowgulepublicschool.com ,1957,7/9/2003 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,MARATHA MITRA MANDAL,Karol Bagh,India,011 - 23522370,,,Monday - Saturday: 8 AM - 2 PM,,,,,,,,,,Usha Pandey,ChIJE4a6XGT9DDkRlmwdPYOtPTM,SOURCE 7
,D P MODERN PUBLIC SCHOOL,2130534,RAM PARK LONI GHAZIABAD UTTAR PRADESH,uttar pradesh,GHAZIABAD,201102,,,Provisional,CBSE,,SHRI MANVIR SINGH,"2854356
                        ,",,,mgmmodelschool@rediffmail.com,http://www.mgneducationaltrust.org,1999,4/7/2005 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,DHANPAL EDUCATION TRUST,Loni,India,0120 - 2854356,,,,,,,,,,,,,,ChIJbVx8weH-DDkRkbmoSx4GQvU,SOURCE 7
,DAYANAND BAL MANDIR,2130203,SULTANPURA AGRA CANTT UTTAR PRADESH,uttar pradesh,AGRA,282001,,,Provisional,CBSE,,Mr. KULBIR KAUR BHASIN,"3265299
                        ,",4033562,5624033562,kulbirbhasin@gmail.com,,1973,,Senior Secondary,1/4/2013,31/ 3/ 2018,DAYANAND BAL MANDIR,,India,0562 - 3265299,,,,,,,,,,,,,,ChIJDSstVcJ2dDkR-vUrDfCG2w0,SOURCE 7
,DLF PUBLIC SCHOOL,2130375,SECTOR II RAJINDER NAGAR SAHIBABAD GHAZIABAD,uttar pradesh,GHAZIABAD,201005,,,Provisional,CBSE,,MRS MRIGNAINI,"4632490
                        ,
                        4632491",4632491,3776266558,dpsnumaligarh@yahoo.com,http://dpsnumaligarh.in,1996,3/16/1987 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,DARBARI LAL FOUNDATION,Sahibabad,India,0120 - 2632490, 0120 - 2632491,,Monday - Saturday: 8 AM - 2 PM,,,,,,,,,,,ChIJ1fAlB1z6DDkR9uOgezbPMEQ,SOURCE 7
,GOPI BIRLA MEMORIAL SCHOOL,1130002,68  WALKESHWAR ROAD MUMBAI MAHARASHTRA,MAHARASHTRA,MUMBAI,400006,,,Permanant,CBSE,,MS DEEPA SHETTY,"3696872
                        ,
                        3693063",3693063,6427844,gbms@vsnl.net,,1953,6/1/2004 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,BIRLA INDUSTRIES GROUP CHARITY TRU.,Malabar Hill,India,022 - 23695609,,,Monday - Friday: 7.30 AM - 2.30 PM,,,,,,,,,,,ChIJqZHlsOLN5zsRGQP8EgEVFrY,SOURCE 7
,GYAN BHARATI SCHOOL,2730094,SAKET NEW DELHI,DELHI,NEW DELHI,110017,,,Provisional,CBSE,,R C SHEKHAR,"26960146
                        ,
                        26858079",26858079,26521650,gyanbharati@gmail.com,www.gyanbharatischool.net ,1980,,Senior Secondary,1/4/2002,31/ 3/ 2010,GYAN BHARTI TRUST,Malviya Nagar,India,011 - 26960146, 011 - 26858079,,,,,26858079,,,,,,,R.C. Shekhar,ChIJCeSsXvfhDDkRBxJQZXbndwo,SOURCE 7
,HANSRAJ PUBLIC SCHOOL,530229,SECTOR-6 PANCHKULA HARYANA,HARYANA,PANCHKULA,134109,,,Provisional,CBSE,,MRS RAJNI THARESA,"09431223069
                        ,",574800,0341-2532030,principal@hansrajschool.com,http://www.davrnp.com/,1994,7/3/2000 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,D A V COLLEGE MANAGING COMMITTEE,Sector 6,India,0172 - 2573800,,,Monday - Saturday: 8 AM - 2.30 PM,,,,,,,,,,Nitu,ChIJpxogJ22TDzkR3BOW2WzSS3o,SOURCE 7
,HAPPY MODEL SCHOOL,2730072,B-2 JANAKPURI  DISTT WEST DELHI  NEW DELHI,DELHI,WEST DELHI,110058,,,Provisional,CBSE,,MRS GEETA GHAI,"2221392
                        ,
                        2581275",25506882,25503096,pcbw@del3.vsnl.net.in,http://www.bgsips.net,1969,4/1/1997 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,HAPPY MONTESSORI SCHOOL SOCIETY,Janakpuri,India,011 - 25505865, 011 - 25507589,,Monday - Saturday: 7.30 AM - 1.30 PM,,,,,,,,,,Aastha,ChIJHedQIqMEDTkRYW-YOnqxXXk,SOURCE 7
,HOLY CHILD PUBLIC SCHOOL,530202,SECTOE 29 FARIDABAD HARYANA,HARYANA,FARIDABAD,121002,,,Provisional,CBSE,,SHOBHA BHATIA,"2032
                        ,
                        3986",,,holychildschool@rediffmail.com,http://www.holychildfbd.com,1983,6/25/2007 0:00,Senior Secondary,1/4/2012,31/ 3/ 2017,daughters of mary charitable soc,Sector 29,India,0129 - 2500584, 0129 - 2600060,,,,,,,,,,,,Shabana,ChIJdamRSprdDDkRHs2jU1KfOXo,SOURCE 7
,HOPE HALL FOUNDATION SCHOOL,2730231,SECTOR VII R K PURAM  DISTT SOUTH DELHI  NEW DELHI,DELHI,SOUTH DELHI,110022,,,Provisional,CBSE,,SUMAN NATH,"26197629
                        ,
                        26177628",26197629,24640133,"contact@hhfsdelhi.com,principal@hhfsdelhi.com ",www.akalacademy.in,1990,7/1/2003 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,HOPE HALL SCH MANAGING COMMITTEE,R.K. Puram,India,011 - 26194069, 011 - 26197008,,,,,,,,,,,,,ChIJvfD34KEdDTkRTmmIVOawKeU,SOURCE 7
,IDEAL PUBLIC SCHOOL,930238,THAIKKATTUKARA P.O. ALUVA  DISTT ERNAKULAM KERALA,KERALA,ERNAKULAM,683106,,,Provisional,CBSE,,Mrs. RUBY CYRIAC,"2629462
                        ,
                        627869",627869,484,ipsaluva@sify.com,http://www.ipsaluva.com,1993,6/25/2007 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,THAIKKATTUKARA J EDU & CHARI TRUST,Alwaye,India,0484 - 2629462,,,,,,,,,,,,,,ChIJwYxOa8QOCDsRo5NCFruMj1A,SOURCE 7
,IRA INTERNATIONAL SCHOOL,1130040,PLOT NO 15 BUTIBORI NAGPUR BUTIBORI  NAGPUR MAHARASHTRA,MAHARASHTRA,NAGPUR,441108,,,Provisional,CBSE,,MS MANISHA V SARODE,"62607
                        ,
                        62792",62792,560295,school@nagpur.dot.net.in,,1994,6/2/2006 0:00,Senior Secondary,1/4/2012,31/ 3/ 2017,AMAR NATH ASHRAM TRUST MATHURA,Butibori,India,0712 - 2262792,,,,,,,,,,,,,,ChIJewx4PPWX1DsRhVBFxpvaAJU,SOURCE 7
,J.H. AMBANI SCHOOL,1130033,BOMBAY PUNE HIGHWAY LODHIVALI  CHOWK P.O TAL. KHALAPUR  RAIGAD DISTT.  MAHARASHTRA,MAHARASHTRA,RAIGAD,410206,,,Provisional,CBSE,,Mrs. PARVESH KUSHAL,"255101
                        ,
                        55007",55007,27463853,jhaslib@bsnl.in,,1992,4/7/2005 0:00,Senior Secondary,1/4/2008,31/ 3/ 2013,J H AMBANI POUNDATION,Raigad,India,02141 - 255007,,,,,,,,,,,,,,ChIJX0I49XDk5zsR8CSLweZUZ90,SOURCE 7
,JAWAHAR NAVODAYA VIDYALAYA,1140023,C/0 ALKA SHETI FARM KAGAL DISTT KOLHAPUR MAHARASHTRA,MAHARASHTRA,KOLHAPUR,416216,,,Provisional,CBSE,,P S SARDAR,"35442
                        ,",44197,44197,klp_invkop@sancharnet.in,,1993,3/31/2012 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,N.V.S,,India,0231 - 2244197,,,,,,,,,,,,,,ChIJ_cqWo-37wDsRGj7ha8gfIl4,SOURCE 7
,JAWAHAR NAVODAYA VIDYALAYA,1140019,KHEDGAON  SHINDVAD ROAD TQ: DINDORI DIST. NASHIK MAHARASHTRA,MAHARASHTRA,NASIK,422205,,,Provisional,CBSE,,S T VALIMBE,"25809616
                        ,",35836,35836,jnvnasik@yahoo.com,,1988,3/31/2011 0:00,Senior Secondary,1/4/2010,31/ 3/ 2020,NAVODAYA VIDYALAYA SAMITI,,India,0253 - 2235626,,,,,,,,,,,,,,ChIJDeF5INvb3TsRT0q-2xxck3Y,SOURCE 7
,JNANA PRABODHINI PRASHALA,1130001,510  SADASHIV PETH PUNE MAHARASHTRA,MAHARASHTRA,PUNE,411030,,,Permanant,CBSE,,VIVEK PONKSHE,"4477691
                        ,
                        4478095",4478095,4332394,prabodhini@vsnl.com,http://www.prashala.jnanaprabodhini.org,1969,5/5/2003 0:00,Secondary School,1/4/2009,31/3/2099,JNANA PRABODHINI TRUST,Sadashiv Peth,India,020 - 24207122, 020 - 24207124,,Monday - Friday: 9 AM - 4 PM,,,,,,,,,,Rohini Dhavale,ChIJp9Nka3LAwjsRgxeTi4xljXc,SOURCE 7
,K D B PUBLIC SCHOOL,2130023,OLD KAVI NAGAR GHAZIABAD UTTAR PRADESH,uttar pradesh,GHAZIABAD,201002,,,Provisional,CBSE,,Mr. inkel jatt,"42118
                        ,",712771,712771,rnagar134@gmail.com,www.o.g.p.s.com,1950,,Senior Secondary,1/4/2009,31/ 3/ 2014,K D B EDUCATION SOCIETY,Kavi Nagar,India,0120 - 2751671,,,Monday - Saturday: 8 AM - 2 PM,,,,,,,,,,Jitender,ChIJAQAAAOvxDDkRz4G4sI4CpTI,SOURCE 7
,K R MANGALAM WORLD SCHOOL,2730480,S BLOCK GREATER KAILASH II NEW DELHI,DELHI,SOUTH DELHI,110048,,,Provisional,CBSE,,MRS MEENU GOSWAMI,"0124-2382596
                        ,",42,29220606,carmel.valapad@gmail.com,www.krmangalam.com ,1980,4/7/1987 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,GEE DEE EDUCATION SOCIETY,Greater Kailash II,India,011 - 29210341, 011 - 29210342,,,,,,,,,,,,,ChIJHQpsOCviDDkRmD99XnC11nY,SOURCE 7
,LAXMAN PUBLIC SCHOOL,2730038,HAUZ KHAS ENCLAVE NEW DELHI,DELHI,SOUTH DELHI,110016,,,Permanant,CBSE,,Mr. MRS USHA RAM,"26963240 26865095
                        ,
                        26865095",26865095,26967041,general_lps@rediffmail.com,www.laxmanpublicschool.com ,1976,6/23/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,LAXMAN PUBLIC SCHOOL SOCIETY REGD,Hauz Khas Extension,India,011 - 26963240, 011 - 26865095,,Monday - Saturday: 7.30 AM - 5 PM,,,,,,,,,,Sulekha,ChIJBwVbezoZDTkRUMJUXJTyWrc,SOURCE 7
,mata gujri public school,2730263,gurudwara singh sabha (opp. c-block) greater kailash-i  Distt South Delhi  new delhi,DELHI,SOUTH DELHI,110048,,,Provisional,CBSE,,rita dhall,"257104
                        ,",29233477,23036879,davaskvhr@yahoo.com,http://davashokvhr.com,1971,7/9/2003 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,the asian educational dev. trust,Greater Kailash I,India,011 - 29233477, 011 - 29236796,,Monday - Saturday: 9 AM - 9 PM,,,,,,,,,,N. Grover,ChIJJZlF18zjDDkR4LdAcxIUZsI,SOURCE 7
,MATER DEI SCHOOL,2730093,TILAK LANE  DISTT NEW DELHI  NEW DELHI,DELHI,NEW DELHI,110001,,,Provisional,CBSE,,SR TAURINA VAZ,"23387679
                        ,",23383843,23070537,materdei59@hotmail.com,www.materdeischool.in ,1956,6/25/2007 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,FRANCISCAN SISTERS OF MARY NEW DELH,Adarsh Nagar,India,011 - 23387679,,,,,,,,,,,,,Irene,ChIJ8azYHNfiDDkR3dF7cJoHAW4,SOURCE 7
,N C JINDAL PUBLIC SCHOOL,2730057,ROAD NO 73 PUNJABI BAGH NEW DELHI,DELHI,NEW DELHI,110026,,,Permanant,CBSE,,M S TYAGI,"25190514
                        ,
                        25101213",25228292,25190514,ncjindal@del3.vsnl.net.in,www.ncjindalps.com ,1966,,Senior Secondary,1/7/1977,1/5/1981,N C JINDAL CHARITABLE TRUST,Punjabi Bagh,India,,,,,,,,,,,,,,,ChIJp0DJpp8DDTkRi1jSJATZtSg,SOURCE 7
,N S S PUBLIC SCHOOL,930002,PERUNTHANNI THIRUVANANTHAPURAM KERALA,KERALA,THIRUVANANTHAPURAM,695008,,,Provisional,CBSE,,Mrs.S.SUNEETHA,"2450588
                        ,",2541089,0471-2541089,nsspsp@yahoo.com,http://www.nsspublicschooltvm.com,1973,4/1/2005 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,NAIR SERVICE SOCIETY,Pazhavangadi,India,0471 - 2450588,,,,,,,,,,,,,,ChIJxUy3nXW7BTsRVySUb-5Z05g,SOURCE 7
,NEW WAY SCHOOL,2130168,78-B NIRALA NAGAR LUCKNOW UTTAR PRADESH,uttar pradesh,UTTAR,226020,,,Provisional,CBSE,,MRS SMITA RAJ,"321463
                        ,
                        322841",322841,,gancorp@lwi.vsnl.net.in,,1978,4/1/2005 0:00,Senior Secondary,1/4/2009,31/ 3/ 2014,NEW WAY SCHOOL SOCIETY,Nirala Nagar,India,0522 - 2321463, 0522 - 2322841,,,,,,,,,,,,,ChIJwYAauYP9mzkRUbD4HTgrESc,SOURCE 7
,P E S CENTRAL SCHOOL,1130003,SECTOR-I APARANT C B D KONKAN BHAVAN NEW MUMBAI MAHARASHTRA,MAHARASHTRA,NEW MUMBAI,400614,,,Provisional,CBSE,,MRS KALAWATI SINGH,"7571989
                        ,",7570836,7570836,pescs@rediffmail.com,,1979,6/2/2008 0:00,Secondary School,1/4/2013,31/3/2018,PEOPLES EDUCATION SOCIETYS,,India,022 - 75719892,,,,,,,,,,,,,,ChIJV9RmVLTD5zsRNowKNlk54n4,SOURCE 7
,RAJHANS VIDYALAYA,1130031,H M P SCHOOL CAMPUS ANDHERI WEST  DISTT MUMBAI  MAHARASHTRA,MAHARASHTRA,MUMBAI,400058,,,Provisional,CBSE,,MRS D S SRIVASTAVA,"6234805
                        ,
                        6243529",6243529,6327838,rajhans_vid@rediffmail.com,http://www.nathvalleyscho,1992,7/1/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,aurangabad vidya mandir,Andheri West,India,022 - 26234805, 022 - 26243529,,Monday - Sunday: 7 AM - 2 PM,,,,,,,,,,,ChIJXzWZgdnJ5zsRJnjJTgM1hz8,SOURCE 7
,rani dutta arya vidyalaya,2778068,1488 pataudi house darya ganj new delhi,DELHI,NEW DELHI,110002,,,Provisional,CBSE,,g p sharma,"23253943
                        ,",,22437666,,,1995,4/1/1991 0:00,Senior Secondary,1/4/2010,31/ 3/ 2016,delhi   administration,Daryaganj,India,011 - 23253943,,,,,,,,,,,,,G.P. Sharma,ChIJR3bKoyD9DDkRYzydQsnrYVI,SOURCE 7
,RICH HARVEST PUBLIC SCHOOL,2730266,A/1/253 JANAKPURI  DISTT WEST DELHI  NEW DELHI,DELHI,WEST DELHI,110058,,,Provisional,CBSE,,PARNANA AGGARWAL,"25919922
                        ,",41573653,,jds_kanpur@rediffmail.com,www.richharvestschool.com ,2000,4/5/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,bhartiya shikchha samiti u.p.,Janakpuri,India,011 - 25555294,,,Monday - Saturday: 8 AM - 2 PM,,,,,,,,,,Rajesh,ChIJK6DYNNsEDTkRXEGoIh5_LAw,SOURCE 7
,RISHABH PUBLIC SCHOOL,2730377,POCKET IV MAYUR VIHAR PHASE I DELHI,DELHI,EAST DELHI,110091,,,Provisional,CBSE,,Mr. MRS LATA SINGH,"22752055
                        ,",22452469,22452469,abhishek_bbe@yahoo.co.in,,1994,1/5/1986 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,RISHABH EDN SOC,Mayur Vihar,India,011 - 22752055,,,Monday - Saturday: 9 AM - 4.30 PM,,,,,,,,,,Lata Singh,ChIJI-3xOpjkDDkRtuS9Q1QK0pw,SOURCE 7
,RUKMANI DEVI JAIPURIA PUBLIC SCHOOL,2730100,23 RAJPUR ROAD  DISTT NORTH DELHI  DELHI,DELHI,NORTH DELHI,110054,,,Provisional,CBSE,,P NEHRU,"23985806
                        ,
                        23965643",23965643,26411106,bohrapublicschool@yahoo.com,http://www.rdjps.co.in,1974,4/1/2001 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,B P JAIPURIA CHARITABLE TRUST,Civil Lines,India,011 - 23965643, 011 - 23985806,,,,,,,,,,,,,ChIJu7JIbaL9DDkRuDJqtxCAwS8,SOURCE 7
,SAI MEMORIAL,2730307,SAI BHAWAN F.C.CENTRE GEETA COLONY  DISTT EAST DELHI  DELHI,DELHI,EAST DELHI,110031,,,Provisional,CBSE,,DR MRS MEENAKSHI KESWANI,"22016866
                        ,
                        22016867",22016867,27753952,saaimemorial@vsnl.net,www.saibhawan.com ,2000,6/25/2007 0:00,Senior Secondary,1/4/2017,31/ 3/ 2022,SAI MEMORIAL EDUCATION SOCIETY,Gandhi Nagar,India,011 - 22016866,,,,,,22046869,,,,,,,M. Keshwani,ChIJyTiKlJX8DDkReUq6PzYmjUc,SOURCE 7
,Saint Kabir Public School,2630064,Sector-26  Chandigarh,CHANDIGARH,CHANDIGARH(UT),160019,,,Provisional,CBSE,,Gurminder Chadha,"0172-2791459, 0172-2793437
                        ,",791459,,contact@stkabir.co.in,http://www.stkabir.co.in,1974,1/7/1977 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,KABIR EDUCATIONAL SOCIETY,Sector 26,India,0172 - 2791459, 0172 - 2549437,,,,,548240,,,,,,,,ChIJE93NCCbtDzkRMjOUZtsEtHc,SOURCE 7
,Saint Soldier's Divine Public School,530031,sect 16 panchkula haryana,HARYANA,PANCHKULA,134109,,,Provisional,CBSE,,mr. nirmal bedi,"2565184
                        ,",560369,1722558288,dickiebedi2@yahoo.co.in,http://www.saintsoldierschool.com,1977,4/1/2005 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,vivekanand kendra vidyalaya ap tr,Sector 16,India,0172 - 2565184, 0172 - 2565645,,,,,,,,,,,,meera,ChIJyYl9MUWTDzkRAjrgPFh6lJs,SOURCE 7
,SARASWATHI VIDYALAYA,930121,ARAPPURA JUNCTION VATTIYOORKAVU P.O TRIVANDRUM KERALA,KERALA,THIRUVANANTHAPURAM,695013,,,Provisional,CBSE,,SMT SHYLAJA O. R.,"04424838211
                        ,",363142,2468358,saraswathividyalaya@gmail.com,,1991,4/1/2002 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,ANANTHAPURI EDUCATIONAL SOCIETY,Palkulangara,India,0471 - 2468359,,,,,,,,,,,,,,ChIJ79snfxi6BTsRRZ1NJJ5DZHw,SOURCE 7
